Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1095434,Debt collection,,Communication tactics,Frequent or repeated calls,NJ,07302,Web,10/31/2014,11/05/2014,Allied Interstate LLC,Closed with non-monetary relief,Yes,
1095332,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,CA,95407,Web,10/31/2014,10/31/2014,Ocwen,Closed with explanation,Yes,Yes
1095534,Credit reporting,,Incorrect information on credit report,Account status,AR,72118,Web,10/31/2014,10/31/2014,Experian,Closed with non-monetary relief,Yes,
1095733,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,GA,30028,Web,10/31/2014,10/31/2014,Nationstar Mortgage,Closed with explanation,Yes,
1096344,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,IN,46311,Web,10/31/2014,10/31/2014,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1095215,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,CA,94544,Web,10/31/2014,10/31/2014,TransUnion,Closed with explanation,Yes,
1095121,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,ME,04027,Web,10/31/2014,10/31/2014,TD Bank,Closed with non-monetary relief,Yes,
1095138,Credit reporting,,Incorrect information on credit report,Account status,ID,83202,Web,10/31/2014,10/31/2014,Experian,Closed with explanation,Yes,
1096497,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,CA,94519,Web,10/31/2014,10/31/2014,Ocwen,Closed with explanation,Yes,
1095079,Credit card,,Billing statement,,NH,03033,Web,10/31/2014,10/31/2014,Citibank,Closed with monetary relief,Yes,
1095062,Bank account or service,Checking account,Problems caused by my funds being low,,NC,27610,Web,10/31/2014,10/31/2014,Bank of America,Closed with monetary relief,Yes,
1094971,Credit reporting,,Incorrect information on credit report,Information is not mine,CA,90036,Web,10/31/2014,11/05/2014,TransUnion,Closed with explanation,Yes,Yes
1095002,Bank account or service,Other bank product/service,"Account opening, closing, or management",,TX,78746,Web,10/31/2014,11/06/2014,First Niagara Bank,In progress,Yes,
1096326,Debt collection,Payday loan,Disclosure verification of debt,Not given enough info to verify debt,VA,23227,Web,10/31/2014,10/31/2014,Red Rock Tribal Lending,Closed with explanation,Yes,
1094962,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,NY,14760,Web,10/31/2014,10/31/2014,JPMorgan Chase,In progress,Yes,
1094956,Money transfers,Domestic (US) money transfer,Fraud or scam,,CA,90280,Web,10/31/2014,10/31/2014,Bank of America,In progress,Yes,
1094958,Debt collection,,Taking/threatening an illegal action,Sued where didn't live/sign for debt,CA,92614,Web,10/31/2014,10/31/2014,"Pressler & Pressler, LLP",Closed with explanation,Yes,Yes
1094967,Mortgage,VA mortgage,"Application, originator, mortgage broker",,DE,19713,Web,10/31/2014,10/31/2014,NVR Inc,Closed with explanation,Yes,
1094960,Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,NC,28086,Web,10/31/2014,10/31/2014,Sterling Jewelers Inc.,In progress,Yes,
1094889,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,NY,10011,Referral,10/31/2014,11/06/2014,"United Recovery Systems, LP",Closed with explanation,Yes,
1094885,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,TX,75137,Web,10/31/2014,10/31/2014,"Diversified Consultants, Inc.",Closed with explanation,Yes,
1097394,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,FL,33016,Referral,10/31/2014,11/01/2014,Nationstar Mortgage,In progress,Yes,
1094860,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,FL,32141,Web,10/31/2014,10/31/2014,Capital One,In progress,Yes,
1096509,Mortgage,Reverse mortgage,"Loan servicing, payments, escrow account",,PA,18324,Postal mail,10/31/2014,11/06/2014,Nationstar Mortgage,Closed with explanation,Yes,
1094969,Credit reporting,,Incorrect information on credit report,Information is not mine,CA,90036,Web,10/31/2014,11/05/2014,Experian,Closed with explanation,Yes,Yes
1095084,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,NH,03872,Web,10/31/2014,10/31/2014,Resurgent Capital Services L.P.,Closed with explanation,Yes,
1097184,Bank account or service,Other bank product/service,"Account opening, closing, or management",,CA,94561,Web,10/31/2014,11/06/2014,Ocwen,Closed,Yes,
1094970,Credit reporting,,Incorrect information on credit report,Information is not mine,CA,90036,Web,10/31/2014,10/31/2014,Equifax,Closed with explanation,Yes,Yes
1095130,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,NJ,08742,Web,10/31/2014,10/31/2014,"Debt Recovery Solutions, LLC",Closed with explanation,Yes,
1096474,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,NC,27513,Web,10/31/2014,10/31/2014,"Halsted Financial Services, LLC.",Closed with explanation,Yes,
1096441,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,NJ,07735,Web,10/31/2014,10/31/2014,Encore Capital Group,Closed with explanation,Yes,Yes
1096500,Bank account or service,Checking account,Deposits and withdrawals,,TX,77057,Web,10/31/2014,10/31/2014,JPMorgan Chase,Closed with explanation,Yes,
1096268,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CA,92726,Phone,10/31/2014,11/06/2014,Stellar Recovery Inc.,Closed with explanation,Yes,
1096508,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,CA,92868,Referral,10/31/2014,10/31/2014,Bank of America,In progress,Yes,
1095968,Bank account or service,Other bank product/service,Deposits and withdrawals,,IL,60659,Referral,10/31/2014,11/06/2014,Wells Fargo,Closed with explanation,Yes,
1095832,Credit card,,Transaction issue,,OR,97339,Web,10/31/2014,10/31/2014,Capital One,Closed with monetary relief,Yes,
1095719,Debt collection,Non-federal student loan,Taking/threatening an illegal action,Attempted to/Collected exempt funds,NC,28433,Referral,10/31/2014,11/05/2014,AES/PHEAA,Closed with explanation,Yes,
1096703,Credit reporting,,Incorrect information on credit report,Information is not mine,CA,90018,Web,10/31/2014,10/31/2014,Equifax,Closed with explanation,Yes,Yes
1095401,Debt collection,Federal student loan,Communication tactics,Frequent or repeated calls,MO,63108,Web,10/31/2014,10/31/2014,URS Holdings LLC,Closed with explanation,Yes,
1096668,Debt collection,,Communication tactics,Threatened to take legal action,AK,99507,Web,10/31/2014,11/06/2014,Turning Point Solutions LLC,Closed with non-monetary relief,Yes,
1095712,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Called outside of 8am-9pm,CA,91767,Web,10/31/2014,10/31/2014,"Media Collections, Inc",Closed with non-monetary relief,Yes,
1095709,Credit reporting,,Credit monitoring or identity protection,Problem cancelling or closing account,VA,23188,Web,10/31/2014,11/06/2014,Experian,In progress,Yes,
1096329,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,CT,06002,Web,10/31/2014,10/31/2014,Nationstar Mortgage,Closed with explanation,Yes,
1097171,Bank account or service,Other bank product/service,Deposits and withdrawals,,CA,90280,Phone,10/31/2014,11/05/2014,Wells Fargo,Closed with explanation,Yes,
1095596,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,DE,19702,Web,10/31/2014,10/31/2014,"FirstSource Advantage, LLC",Closed with explanation,Yes,
1095706,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,NY,11236,Phone,10/31/2014,11/05/2014,"Halsted Financial Services, LLC.",Closed with explanation,Yes,
1095146,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Frequent or repeated calls,,,Phone,10/31/2014,11/05/2014,Stellar Recovery Inc.,Closed with explanation,Yes,
1095372,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,FL,33183,Web,10/31/2014,10/31/2014,Provident Funding,Closed with explanation,Yes,Yes
1095208,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,TX,77095,Web,10/31/2014,10/31/2014,"Green Tree Servicing, LLC",In progress,Yes,
1096144,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77657,Web,10/31/2014,11/06/2014,Stellar Recovery Inc.,Closed with explanation,Yes,
1095143,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,CO,80301,Web,10/31/2014,10/31/2014,"Select Portfolio Servicing, Inc",Closed with explanation,Yes,
1095136,Bank account or service,Checking account,Deposits and withdrawals,,NC,27545,Web,10/31/2014,10/31/2014,Bank of America,Closed with monetary relief,Yes,
1097379,Credit reporting,,Incorrect information on credit report,Information is not mine,GA,30341,Web,10/31/2014,11/06/2014,Experian,In progress,Yes,
1095607,Debt collection,"Other (phone, health club, etc.)",Taking/threatening an illegal action,Threatened to sue on too old debt,GA,30340,Web,10/31/2014,10/31/2014,"ONLINE Information Services, Inc.",Closed with explanation,Yes,
1095787,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,CA,95157,Web,10/31/2014,10/31/2014,Wells Fargo,Closed with explanation,Yes,
1095750,Bank account or service,Other bank product/service,"Account opening, closing, or management",,CA,92399,Web,10/31/2014,10/31/2014,Wells Fargo,Closed with explanation,Yes,
1095283,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,CA,91702,Web,10/31/2014,10/31/2014,Navy FCU,In progress,Yes,
1097375,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,OR,97116,Web,10/31/2014,11/01/2014,Seterus,Closed with explanation,Yes,
1097401,Credit reporting,,Incorrect information on credit report,Information is not mine,NY,10465,Web,10/31/2014,11/01/2014,Experian,Closed with explanation,Yes,Yes
1094968,Bank account or service,Checking account,"Account opening, closing, or management",,MI,48197,Web,10/31/2014,11/06/2014,Navy FCU,In progress,Yes,
1094862,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,DC,20020,Web,10/31/2014,11/06/2014,GE Capital Retail,Closed with monetary relief,Yes,
1097187,Mortgage,Conventional adjustable mortgage (ARM),Credit decision / Underwriting,,TX,76086,Web,10/31/2014,11/01/2014,JPMorgan Chase,In progress,Yes,
